time,open,high,low,close,BITBAY:ETHUSDT: Open,BITBAY:ETHUSDT: High,BITBAY:ETHUSDT: Low,BITBAY:ETHUSDT: Close,MA,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI
1625292000,32098.29,32100.02,31975.73,32037.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.610512,0.7273004500000867,61.74761518540497
1625292300,32025.49,32039.32,31981.9,32028.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.138014,0.7191824500000867,60.95088773812985
1625292600,32033.83,32083.5,32033.83,32059.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.101523,0.7138140500000867,62.725163172428594
1625292900,32100,32103.11,32055.38,32098.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09216,0.6985002500000868,64.91106608002949
1625293200,32108.18,32145.16,32096.69,32139.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.407195,0.7169975500000867,67.05476549391034
1625293500,32123.2,32123.2,32070.61,32079.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.057958,0.7156109500000867,61.11033229797693
1625293800,32060.62,32147.84,32060.62,32113.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.415069,0.7853251500000867,63.10061907573622
1625294100,32127.71,32127.71,31967.6,31967.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.288175,0.7889664000000868,50.98334547870075
1625294400,32044.45,32082.14,32038.48,32082.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.077816,0.7821975000000868,57.8390680937206
1625294700,32073.84,32131.22,32055.22,32081.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.180652,0.7748310000000868,57.78815251450705
1625295000,32079.59,32090.94,31956.59,32016.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.637662,0.9032299000000867,52.8962663267401
1625295300,32011.66,32020.62,32003.29,32020.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049665,0.8865745500000868,53.1907211456924
1625295600,32050.89,32050.89,31937.57,31986.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.312481,0.7656125500000868,50.582069314482574
